,CLASSNAME,landfire140,landfire200,tau,k
280,Ozark-Ouachita Shortleaf Pine Forest and Woodland,3367,7367,,
281,East Gulf Coastal Plain Interior Shortleaf Pine Forest,3372,7372,,
282,West Gulf Coastal Plain Sandhill Shortleaf Pine Forest and Woodland,3378,7378,,
283,Crowley's Ridge Sand Forest,3510,7510,,
284,East Gulf Coastal Plain Interior Oak Forest,3527,7527,,
285,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,3546,7546,,
286,Ozark-Ouachita Oak Forest and Woodland,3582,7582,,
287,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,3583,7583,,
288,West Gulf Coastal Plain Sandhill Oak Forest and Woodland,3586,7586,,
289,West Gulf Coastal Plain Sandhill Oak and Shortleaf Pine Forest and Woodland,3587,7587,,
290,Southern Appalachian Low-Elevation Pine Forest,3353,7353,,
291,Northern Atlantic Coastal Plain Maritime Forest,3379,7379,,
292,West Gulf Coastal Plain Pine Forest,3371,7371,,
293,West Gulf Coastal Plain Pine Flatwoods,3458,7458,,
294,West Gulf Coastal Plain Hardwood Forest,3584,7584,,
295,West Gulf Coastal Plain Pine-Hardwood Forest,3585,7585,,
296,West Gulf Coastal Plain Hardwood Flatwoods,3590,7590,,
297,West Gulf Coastal Plain Pine-Hardwood Flatwoods,3591,7591,,
298,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,3450,7450,,
299,West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,3451,7451,,
300,Central Florida Pine Flatwoods,3453,7453,,
301,East Gulf Coastal Plain Near-Coast Pine Flatwoods,3454,7454,,
302,Southern Coastal Plain Mesic Slope Forest,3357,7357,,
303,South-Central Interior/Upper Coastal Plain Wet Flatwoods,3457,7457,,
304,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,3506,7506,,
305,Southern Coastal Plain Dry Upland Hardwood Forest,3330,7330,,
306,Central and South Texas Coastal Fringe Forest and Woodland,3338,7338,,
